Zone_ID,Temperature_C,Soil_Humidity_pct,Soil_Moisture_pct,Air_Humidity_pct,Pressure_kPa,pH,Rainfall_mm,Soil_Type,Soil_EC_dS_m,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Applied_Fertilizer,Urea_kg_ha,TSP_kg_ha,MOP_kg_ha,Sensor_Glitch_Flag,Growing_Condition
Zone_16,22.43,45.41,23.15,60.63,101.27,6.52,26.76,Red Soil,0.977,28.32,38.38,46.73,10-26-26,26.44,24.28,47.47,No,Optimal
Zone_17,25.49,57.96,46.49,60.03,101.34,6.92,69.98,Black Soil,1.235,61.19,47.3,93.01,Urea,88.49,11.69,3.43,No,Optimal
Zone_18,27.29,43.25,31.71,60.64,101.17,6.48,116.9,Sandy Soil,0.404,52.67,39.51,45.18,DAP,31.66,39.15,5.04,No,Optimal
Zone_19,34.3,31.34,12.39,50.0,101.0,6.4,33.12,Sandy Soil,0.698,52.02,33.54,21.91,14-35-14,45.0,43.22,29.24,No,Warning
Zone_20,30.17,36.22,25.32,60.22,101.04,5.58,83.16,Sandy Soil,0.679,20.89,39.43,32.15,DAP,28.47,34.13,5.44,No,Optimal
Zone_01,23.82,50.7,36.66,56.47,101.27,6.71,90.75,Loam Soil,0.658,69.66,33.18,52.13,MOP,0.12,7.43,47.76,No,Optimal
Zone_02,25.08,64.55,55.86,71.45,101.11,7.28,154.97,Chalky Soil,1.108,31.41,36.7,47.37,28-28,54.19,41.77,27.01,No,Optimal
Zone_03,23.9,54.76,36.23,49.4,100.91,7.07,32.34,Alluvial Soil,0.971,57.24,55.03,40.76,Urea,73.37,3.91,1.35,No,Optimal
Zone_04,27.07,55.41,28.09,56.81,100.87,6.69,71.28,Loam Soil,0.545,61.41,26.83,43.85,None,0.0,0.0,0.0,No,Optimal
Zone_05,22.51,66.93,56.87,72.63,101.31,6.06,151.92,Red Soil,0.912,49.96,23.23,31.9,Urea,80.61,5.92,5.57,No,Optimal
Zone_06,32.24,70.0,68.25,,101.2,7.26,151.56,Black Soil,1.608,69.27,47.27,75.07,17-17-17,35.42,20.63,36.02,Missing,Optimal
Zone_07,26.25,56.24,36.54,57.04,101.28,7.15,50.08,Clay Soil,0.942,52.08,30.08,43.91,None,0.0,0.0,0.0,No,Optimal
Zone_08,27.53,35.0,18.36,46.49,101.1,6.57,50.55,Sandy Soil,0.908,31.49,35.44,43.96,DAP,27.44,38.38,11.26,No,Optimal
Zone_09,23.79,66.33,50.06,58.32,101.23,7.32,50.62,Black Soil,0.976,68.23,51.3,46.44,28-28,69.28,33.82,21.29,No,Optimal
Zone_10,19.27,47.78,41.71,53.53,101.16,6.44,28.29,Clayey Soil,1.049,70.24,55.19,67.61,Urea,64.12,11.84,3.16,No,Optimal
Zone_11,35.16,34.6,13.05,41.55,101.36,5.6,30.85,Red Soil,0.782,39.35,30.26,40.82,28-28,63.37,38.86,23.26,No,Optimal
Zone_12,22.44,58.78,43.09,68.81,101.22,7.39,78.14,Black Soil,0.924,66.32,35.51,51.57,DAP,27.51,37.15,3.01,No,Optimal
Zone_13,22.97,64.21,49.05,77.66,101.53,6.48,134.13,Loam Soil,0.504,50.86,41.37,56.03,28-28,47.51,24.8,21.42,No,Optimal
Zone_14,29.34,64.3,36.76,45.04,101.08,7.08,35.48,Clay Soil,0.21,45.13,21.54,62.16,MOP,3.02,9.93,40.1,No,Optimal
Zone_15,27.0,54.78,58.42,63.93,100.9,6.64,116.77,Loam Soil,1.012,55.87,38.87,50.7,14-35-14,40.8,30.74,33.34,No,Optimal
Zone_16,22.97,62.01,42.4,50.93,101.05,7.43,39.92,Black Soil,1.398,63.08,32.63,66.45,17-17-17,48.96,21.8,40.95,No,Optimal
Zone_17,23.66,47.95,19.07,50.36,101.44,6.74,26.96,Loam Soil,1.04,46.92,22.55,67.17,14-35-14,45.0,39.37,35.66,No,Optimal
Zone_18,30.12,52.83,38.42,66.6,100.98,6.09,64.41,Loam Soil,0.591,60.01,41.09,55.98,14-35-14,53.14,37.08,26.44,No,Optimal
Zone_19,23.47,63.06,42.9,53.03,101.04,7.37,54.29,Black Soil,1.285,30.89,50.04,46.41,14-35-14,34.74,29.66,27.1,No,Optimal
Zone_20,24.8,48.06,33.83,52.51,101.48,6.32,40.14,Loam Soil,0.975,65.62,32.13,40.37,Urea,67.14,1.66,6.66,No,Optimal
Zone_01,18.66,57.43,32.77,56.78,101.54,6.65,42.05,Alluvial Soil,1.348,61.59,40.64,48.4,28-28,70.97,30.72,29.82,No,Optimal
Zone_02,25.92,65.57,54.84,51.18,100.98,6.06,43.26,Clay Soil,1.032,51.47,29.26,64.74,17-17-17,51.12,18.67,34.24,No,Optimal
Zone_03,24.81,61.01,45.67,60.92,100.81,7.53,58.95,Black Soil,1.551,54.14,42.6,68.74,None,0.0,0.0,0.0,No,Optimal
Zone_04,22.53,60.14,45.66,59.63,100.98,6.72,57.93,Clay Soil,1.495,51.21,40.75,75.16,None,0.0,0.0,0.0,No,Optimal
Zone_05,21.73,46.53,40.71,71.43,101.13,5.56,117.41,Sandy Soil,0.402,45.48,35.93,26.76,MOP,6.68,1.32,30.67,No,Optimal
Zone_06,32.04,69.84,76.04,66.91,100.99,6.46,211.26,Clay Soil,1.241,64.53,10.79,67.02,Urea,88.15,9.74,0.82,No,Optimal
Zone_07,19.26,70.0,75.62,86.33,101.21,6.07,198.04,Black Soil,1.08,83.3,32.38,66.77,DAP,31.48,47.65,10.39,No,Warning
Zone_08,27.99,40.44,17.54,58.67,101.23,6.62,47.98,Sandy Soil,0.529,15.44,46.54,30.52,MOP,2.53,8.42,47.51,No,Optimal
Zone_09,29.4,35.83,22.38,61.74,101.0,6.14,99.56,Sandy Soil,0.404,46.31,32.86,54.55,MOP,5.54,6.62,36.37,No,Optimal
Zone_10,33.65,56.69,46.32,54.64,101.2,6.27,105.32,Loam Soil,0.763,60.95,33.92,68.41,DAP,29.55,34.04,3.91,No,Optimal
Zone_11,20.34,53.71,39.4,61.91,101.18,5.67,114.07,Red Soil,0.968,33.36,36.69,43.47,20-20,45.4,30.18,41.48,No,Optimal
Zone_12,35.13,68.97,62.83,60.26,101.28,6.94,110.41,Clay Soil,1.354,50.77,36.51,86.6,17-17-17,47.9,21.32,34.08,No,Optimal
Zone_13,27.21,42.84,46.15,65.35,101.01,6.76,121.35,Sandy Soil,0.327,42.85,33.75,46.16,DAP,16.03,42.86,4.85,No,Optimal
Zone_14,24.47,66.73,59.96,74.02,101.04,6.28,216.18,Sandy Soil,0.902,36.96,47.83,37.41,17-17-17,45.73,27.97,42.32,No,Optimal
Zone_15,27.5,57.26,38.24,42.43,101.51,7.08,34.9,Black Soil,0.97,53.2,40.3,80.28,None,0.0,0.0,0.0,No,Optimal
Zone_16,24.9,50.91,33.46,48.42,101.14,6.64,70.06,Alluvial Soil,1.272,48.13,45.04,67.12,14-35-14,51.06,38.6,24.32,No,Optimal
Zone_17,27.16,48.14,31.49,46.66,101.36,6.53,0.0,Loam Soil,0.934,54.44,42.52,48.39,14-35-14,37.64,31.72,35.36,Spike,Optimal
Zone_18,38.48,59.5,44.71,40.57,101.1,6.48,39.0,Clayey Soil,1.636,49.19,46.41,65.32,14-35-14,34.46,32.27,23.6,No,Warning
Zone_19,27.49,59.83,58.62,69.91,101.25,7.72,192.52,Chalky Soil,0.337,41.58,5.49,42.52,Urea,69.53,0.08,6.86,No,Warning
Zone_20,19.6,41.08,25.73,55.69,100.79,6.34,22.7,Red Soil,0.601,31.7,15.15,27.55,None,0.0,0.0,0.0,No,Warning
Zone_01,30.49,34.54,19.25,47.57,101.12,6.04,60.02,Sandy Soil,0.839,30.66,27.8,40.45,17-17-17,52.42,28.08,27.38,No,Optimal
Zone_02,23.9,48.38,27.18,65.19,101.46,6.25,105.94,Sandy Soil,0.498,23.12,25.54,39.53,17-17-17,40.56,32.4,33.7,No,Optimal
Zone_03,29.79,59.27,44.82,49.84,101.04,6.94,24.92,Black Soil,1.525,55.84,35.47,66.23,MOP,2.25,3.42,48.8,No,Optimal
Zone_04,23.69,46.29,39.25,70.88,101.21,6.12,122.6,Sandy Soil,0.449,22.13,26.94,27.54,None,0.0,0.0,0.0,No,Optimal
Zone_05,27.83,44.62,29.31,46.27,101.3,7.36,44.78,Chalky Soil,0.48,38.11,15.14,44.82,20-20,48.67,25.3,33.16,No,Optimal
Zone_06,19.13,57.43,51.27,85.0,101.12,6.23,172.36,Sandy Soil,0.63,22.78,12.71,16.15,Urea,98.6,11.72,0.76,No,Warning
Zone_07,27.31,70.0,76.53,87.72,100.87,6.11,202.62,Clayey Soil,0.923,63.09,33.12,68.89,DAP,36.3,31.45,10.81,No,Optimal
Zone_08,23.8,55.33,37.44,62.91,100.85,7.11,63.47,Loam Soil,0.765,55.46,23.19,36.39,10-26-26,45.48,32.61,47.8,No,Optimal
Zone_09,24.31,64.09,42.61,58.23,101.13,6.95,46.27,Loam Soil,0.851,47.84,46.46,30.06,10-26-26,36.12,34.96,44.91,No,Optimal
Zone_10,28.36,53.3,40.31,48.55,101.1,7.45,21.11,Black Soil,1.779,70.57,36.35,58.65,17-17-17,67.61,31.31,42.98,No,Optimal
Zone_11,26.5,35.44,16.94,51.41,100.75,6.67,25.51,Sandy Soil,0.765,22.95,15.78,29.12,Urea,90.79,1.22,9.57,No,Warning
Zone_12,28.68,58.71,46.8,64.74,100.64,6.94,115.9,Alluvial Soil,0.725,61.84,43.86,44.99,None,0.0,0.0,0.0,No,Optimal
Zone_13,36.22,59.28,48.28,58.84,101.11,6.59,128.34,Loam Soil,0.839,62.87,31.01,46.43,17-17-17,35.1,21.08,37.67,No,Optimal
Zone_14,27.17,63.54,42.67,55.07,101.44,7.11,69.08,Black Soil,1.765,75.42,42.6,47.6,28-28,53.52,29.38,21.6,No,Optimal
Zone_15,30.73,53.21,44.42,56.73,101.32,6.65,103.93,Alluvial Soil,0.936,45.59,54.58,66.07,17-17-17,59.16,30.22,31.57,No,Optimal
Zone_16,28.43,56.26,45.02,60.0,100.75,6.9,74.74,Loam Soil,1.046,63.25,41.53,41.1,10-26-26,32.99,28.07,36.41,No,Optimal
Zone_17,25.84,60.82,51.21,63.1,101.28,6.17,94.0,Loam Soil,0.708,74.63,39.12,37.84,MOP,6.71,6.87,51.78,No,Optimal
Zone_18,27.44,37.28,15.51,52.63,100.78,5.88,27.18,Sandy Soil,0.685,21.26,18.29,37.56,MOP,3.13,0.19,37.36,No,Warning
Zone_19,29.54,70.0,77.26,67.42,101.35,5.88,200.53,Clay Soil,1.576,43.35,27.5,70.89,None,0.0,0.0,0.0,No,Optimal
Zone_20,30.76,70.0,63.38,58.99,100.81,7.36,119.77,Clay Soil,0.993,44.79,39.38,60.59,DAP,35.91,34.29,6.22,No,Optimal
Zone_01,31.35,64.47,63.61,67.07,100.86,7.41,128.01,Loam Soil,0.63,50.81,36.38,50.04,DAP,33.92,31.23,9.77,No,Optimal
Zone_02,32.76,59.4,55.7,53.95,100.88,6.84,97.58,Clayey Soil,1.036,53.27,30.84,61.8,DAP,16.36,47.5,8.4,No,Optimal
Zone_03,20.28,70.0,90.0,96.0,101.11,6.73,263.1,Alluvial Soil,0.968,85.06,50.69,56.59,17-17-17,50.63,26.66,37.5,No,Critical
Zone_04,25.03,53.72,39.77,57.42,101.38,6.47,57.64,Loam Soil,0.544,58.6,64.56,54.23,17-17-17,51.06,23.39,37.67,No,Optimal
Zone_05,24.09,66.26,47.3,57.56,101.1,7.09,53.42,Clay Soil,1.247,49.18,26.96,63.29,14-35-14,27.19,39.21,27.0,No,Optimal
Zone_06,31.91,56.8,47.5,49.27,100.83,7.49,57.64,Black Soil,1.333,47.65,44.15,71.88,None,0.0,0.0,0.0,No,Optimal
Zone_07,26.3,66.55,58.73,60.3,101.35,6.45,89.75,Clay Soil,0.946,46.81,41.63,59.17,10-26-26,20.48,34.0,37.23,No,Optimal
Zone_08,31.52,58.98,40.62,48.75,101.14,6.59,50.64,Clay Soil,1.299,35.74,30.25,72.66,DAP,38.44,42.53,2.32,No,Optimal
Zone_09,26.33,49.12,27.05,47.35,101.26,6.44,25.38,Loam Soil,0.604,61.51,30.73,57.57,None,0.0,0.0,0.0,No,Optimal
Zone_10,24.05,69.53,63.4,70.69,100.61,7.28,146.09,Black Soil,0.956,80.51,29.41,34.14,DAP,24.85,31.37,3.76,No,Optimal
Zone_11,23.21,67.63,69.18,87.87,101.03,6.04,230.29,Sandy Soil,0.754,23.47,17.38,32.62,Urea,91.04,8.14,1.72,No,Warning
Zone_12,22.42,49.14,33.35,69.02,101.23,6.41,115.03,Sandy Soil,0.668,42.17,40.37,44.32,28-28,70.71,27.24,23.07,No,Optimal
Zone_13,24.97,70.0,61.11,69.26,101.0,7.07,125.14,Black Soil,1.404,57.71,38.95,74.41,Urea,60.42,10.5,7.86,No,Optimal
Zone_14,31.83,32.52,19.8,48.93,101.02,5.74,31.89,Sandy Soil,0.473,24.84,21.58,14.68,Urea,95.41,4.32,5.75,No,Critical
Zone_15,29.34,53.21,43.58,75.36,101.1,6.9,128.77,Sandy Soil,0.695,39.47,30.78,33.63,MOP,6.49,5.58,48.1,Frozen,Optimal
Zone_16,27.47,58.01,47.65,60.75,101.19,6.32,42.78,Loam Soil,0.505,41.33,23.61,36.89,None,0.0,0.0,0.0,No,Optimal
Zone_17,28.14,30.52,21.06,42.06,100.97,5.82,70.63,Sandy Soil,0.663,42.46,44.73,41.22,14-35-14,28.43,39.39,30.45,No,Optimal
Zone_18,21.12,35.43,19.1,57.81,101.21,6.11,41.29,Sandy Soil,0.443,42.5,40.23,29.98,DAP,38.03,28.23,11.31,No,Optimal
Zone_19,31.89,70.0,68.54,68.86,101.52,6.99,158.24,Clay Soil,1.032,60.31,36.09,55.28,17-17-17,66.77,18.74,34.19,No,Optimal
Zone_20,29.29,64.22,51.05,57.05,101.13,7.22,101.08,Black Soil,1.815,49.55,30.42,82.44,DAP,28.75,43.02,11.94,No,Optimal
Zone_01,26.51,34.76,16.18,41.64,101.14,6.7,25.88,Red Soil,0.563,52.42,24.32,44.83,None,0.0,0.0,0.0,No,Optimal
Zone_02,29.16,50.82,43.0,74.17,101.28,7.8,148.05,Chalky Soil,0.787,17.78,24.15,56.7,20-20,60.65,31.83,34.01,No,Warning
Zone_03,31.73,48.47,33.0,57.57,101.26,6.93,67.67,Alluvial Soil,1.095,78.7,39.89,65.83,14-35-14,39.76,36.68,29.6,No,Optimal
Zone_04,26.12,52.34,26.48,52.97,101.13,7.16,43.86,Clay Soil,0.965,30.86,24.81,61.94,MOP,3.66,2.34,35.15,No,Optimal
Zone_05,28.63,67.21,74.41,83.07,101.41,7.49,254.94,Chalky Soil,1.102,15.34,25.54,58.59,14-35-14,43.45,44.11,34.87,No,Optimal
Zone_06,26.79,69.8,43.71,58.7,100.96,7.28,34.33,Clay Soil,1.143,46.3,28.25,46.78,Urea,98.72,8.5,8.05,No,Optimal
Zone_07,23.99,68.72,71.87,65.44,101.5,6.6,118.41,Clay Soil,0.736,48.95,33.81,56.58,None,0.0,0.0,0.0,No,Optimal
Zone_08,31.47,61.18,49.61,69.27,101.52,6.26,184.04,Loam Soil,0.822,80.1,37.42,60.4,None,0.0,0.0,0.0,No,Optimal
Zone_09,29.31,68.98,56.69,68.07,101.31,6.48,119.56,Clay Soil,0.942,45.11,50.02,64.04,14-35-14,53.75,41.25,27.09,No,Optimal
Zone_10,26.1,56.88,49.28,61.22,100.85,7.25,76.83,Black Soil,,67.16,30.15,65.82,DAP,31.56,32.53,4.15,Missing,Optimal
Zone_11,28.61,54.73,34.87,54.85,101.32,6.51,66.23,Red Soil,0.99,49.27,25.99,38.92,10-26-26,32.51,28.86,46.73,No,Optimal
Zone_12,30.71,34.02,11.16,42.98,101.14,5.45,37.9,Sandy Soil,0.268,37.93,20.7,34.34,10-26-26,33.94,30.09,41.4,No,Warning
Zone_13,32.42,65.44,56.6,69.04,100.76,6.35,134.1,Clay Soil,1.215,45.85,30.34,67.12,10-26-26,40.36,37.12,40.91,No,Optimal
Zone_14,27.07,53.26,34.26,59.88,101.03,5.72,105.85,Red Soil,0.703,31.03,29.66,34.53,17-17-17,47.72,28.68,32.04,No,Optimal
Zone_15,29.62,59.14,53.84,61.1,101.01,6.12,131.46,Loam Soil,1.281,65.55,36.99,58.95,20-20,57.11,35.42,33.74,No,Optimal
Zone_16,25.56,58.21,57.93,60.87,101.23,6.96,86.27,Alluvial Soil,0.981,58.94,48.27,71.98,DAP,22.97,44.51,7.45,No,Optimal
Zone_17,32.25,56.3,38.34,47.92,101.18,7.01,25.98,Black Soil,0.735,59.07,45.09,65.77,MOP,1.88,7.04,31.11,No,Optimal
Zone_18,25.78,59.57,41.39,52.16,100.9,6.65,52.57,Clay Soil,1.635,50.11,46.95,46.27,Urea,61.03,9.93,5.15,No,Optimal
Zone_19,31.14,70.0,77.75,72.28,101.64,7.08,193.03,Clayey Soil,1.252,36.55,40.73,60.84,None,0.0,0.0,0.0,No,Optimal
Zone_20,26.7,60.7,46.99,74.99,101.47,6.61,132.68,Loam Soil,0.542,54.04,36.79,53.59,None,0.0,0.0,0.0,No,Optimal
Zone_01,22.35,48.66,34.92,69.41,101.23,5.86,84.47,Red Soil,0.768,58.81,30.46,30.02,Urea,96.27,7.74,7.89,No,Optimal
Zone_02,34.08,50.67,48.83,69.92,101.12,6.08,158.1,Sandy Soil,0.299,47.01,20.84,51.44,None,0.0,0.0,0.0,No,Warning
Zone_03,21.4,62.46,55.9,89.19,101.37,6.21,207.62,Red Soil,0.992,26.83,12.27,56.37,28-28,57.78,24.8,26.48,No,Warning
Zone_04,32.92,64.88,57.35,64.62,101.03,6.87,131.03,Loam Soil,1.316,62.91,46.66,43.31,17-17-17,62.63,27.82,29.47,No,Optimal
Zone_05,55.0,60.44,54.96,55.69,101.65,6.13,94.32,Alluvial Soil,0.902,71.76,45.79,51.66,14-35-14,50.77,28.44,34.51,Spike,Optimal
Zone_06,36.59,33.48,13.57,45.43,101.34,7.0,25.81,Chalky Soil,5.0,50.6,15.34,47.07,DAP,24.86,36.22,6.69,Spike,Warning
Zone_07,24.12,42.46,21.62,57.87,101.48,5.81,63.49,Sandy Soil,0.561,25.49,30.55,26.87,20-20,42.57,20.47,35.4,No,Warning
Zone_08,28.06,38.13,24.14,58.77,101.38,5.58,55.31,Red Soil,0.749,17.77,28.97,22.01,MOP,1.67,5.08,40.2,No,Optimal
Zone_09,15.72,59.44,53.44,61.23,100.78,6.37,64.09,Clay Soil,0.66,58.76,32.87,68.42,MOP,0.3,8.32,33.82,No,Optimal
Zone_10,24.72,70.0,83.3,85.57,101.62,7.07,189.51,Clay Soil,1.08,49.05,14.29,64.03,DAP,17.31,28.12,2.95,No,Warning
Zone_11,36.53,21.1,7.88,39.53,101.35,6.05,20.15,Sandy Soil,0.893,23.81,16.67,33.62,Urea,73.45,9.17,3.31,No,Critical
Zone_12,19.9,70.0,84.45,88.03,101.31,6.05,213.83,Loam Soil,0.803,57.62,45.84,40.0,17-17-17,49.15,30.34,36.32,No,Warning
Zone_13,27.78,41.82,25.99,52.74,101.41,6.36,29.9,Loam Soil,0.694,58.7,34.49,48.29,None,0.0,0.0,0.0,No,Optimal
Zone_14,28.44,49.86,39.97,58.07,100.95,6.32,64.42,Loam Soil,1.005,60.15,34.69,30.39,Urea,70.03,2.05,0.81,No,Optimal
Zone_15,27.3,49.77,32.22,50.66,101.24,6.46,28.79,Black Soil,1.383,54.46,34.04,67.8,Urea,66.17,3.83,4.39,No,Optimal
Zone_16,18.69,56.49,39.86,48.95,100.87,6.8,26.55,Loam Soil,1.004,45.63,56.1,38.8,17-17-17,59.93,19.83,28.35,No,Optimal
Zone_17,33.78,59.21,53.84,54.76,101.22,6.71,95.8,Clay Soil,0.645,46.66,34.15,75.42,None,0.0,0.0,0.0,No,Optimal
Zone_18,21.15,50.06,44.79,49.95,101.13,6.79,45.5,Clayey Soil,1.233,46.4,52.09,68.87,Urea,77.01,10.65,1.27,No,Optimal
Zone_19,26.43,64.77,56.3,77.84,101.02,6.87,114.41,Clay Soil,0.919,47.08,36.94,52.07,MOP,0.76,9.66,33.05,No,Optimal
Zone_20,22.36,49.06,36.92,61.21,100.65,7.42,59.72,Chalky Soil,0.628,33.43,34.88,41.59,MOP,2.52,9.28,36.66,No,Optimal
Zone_01,28.17,43.74,26.25,65.37,101.37,7.31,82.71,Chalky Soil,0.883,22.56,7.94,42.25,17-17-17,41.58,19.21,41.4,No,Warning
Zone_02,24.11,37.13,22.99,65.1,101.07,5.77,85.67,Sandy Soil,0.333,47.71,24.03,29.59,DAP,20.29,29.17,11.22,No,Warning
Zone_03,27.87,47.07,32.11,53.0,101.03,6.15,70.68,Loam Soil,0.916,64.75,43.12,58.13,Urea,88.84,10.98,0.44,No,Optimal
Zone_04,26.88,62.66,47.63,74.82,101.1,5.25,161.04,Red Soil,0.57,38.58,20.14,50.98,MOP,7.58,9.79,37.6,No,Optimal
Zone_05,30.45,41.12,10.41,52.4,101.23,5.9,43.71,Red Soil,0.881,57.67,32.98,42.22,DAP,30.57,45.36,1.69,No,Optimal
Zone_06,27.16,36.2,24.25,60.83,101.02,5.63,60.4,Sandy Soil,0.683,41.06,24.6,32.58,DAP,16.87,48.95,6.19,No,Optimal
Zone_07,27.5,62.94,56.13,64.05,101.09,7.56,134.17,Black Soil,1.822,58.4,41.28,47.59,14-35-14,46.47,37.5,26.76,No,Optimal
Zone_08,33.49,62.89,54.32,57.45,100.89,6.82,87.38,Alluvial Soil,1.093,56.78,25.22,79.74,14-35-14,43.39,42.59,25.35,No,Optimal
Zone_09,29.96,36.84,19.82,51.6,101.19,6.12,52.14,Sandy Soil,0.462,35.13,33.63,11.01,Urea,71.61,9.05,5.76,No,Warning
Zone_10,28.82,45.79,24.55,54.67,101.04,5.94,95.93,Sandy Soil,0.859,57.3,28.27,10,MOP,8.11,9.03,46.52,No,Warning
Zone_11,18.27,47.49,33.67,51.97,101.03,7.16,26.76,Alluvial Soil,0.786,57.05,44.81,59.9,MOP,1.74,9.45,36.18,No,Optimal
Zone_12,21.53,47.0,33.88,53.46,101.13,6.3,46.91,Loam Soil,0.893,59.95,35.05,47.8,20-20,40.64,20.06,32.47,No,Optimal
Zone_13,21.88,48.3,32.04,56.69,101.4,7.55,61.58,Chalky Soil,0.795,23.51,18.29,46.51,MOP,4.97,4.3,34.09,No,Optimal
Zone_14,26.27,70.0,76.79,81.65,101.13,6.32,208.54,Loam Soil,1.177,60.0,46.9,60.31,28-28,64.0,39.85,17.06,No,Optimal
Zone_15,26.19,63.44,45.6,51.42,101.03,7.26,62.99,Black Soil,0.618,64.97,38.69,50.69,DAP,22.75,26.0,8.75,No,Optimal
Zone_16,18.54,58.87,51.71,64.08,100.89,6.21,116.13,Alluvial Soil,1.109,58.43,41.96,26.54,17-17-17,62.11,22.26,42.52,No,Optimal
Zone_17,25.13,70.0,81.5,80.14,101.09,7.23,200.21,Clayey Soil,1.199,61.05,32.49,61.02,Urea,68.14,4.72,10.0,No,Optimal
Zone_18,25.12,45.87,37.01,58.05,101.03,6.09,56.09,Loam Soil,1.091,51.24,30.67,52.5,10-26-26,26.39,36.68,38.0,No,Optimal
Zone_19,33.53,70.0,72.89,66.49,101.01,6.77,138.69,Clay Soil,1.087,57.62,45.58,49.95,Urea,86.29,6.06,2.52,No,Optimal
Zone_20,33.19,70.0,71.28,91.69,101.23,5.61,278.15,Sandy Soil,0.329,57.59,12.33,33.07,None,0.0,0.0,0.0,No,Warning
Zone_01,26.18,62.07,48.56,59.34,101.12,6.45,68.2,Clayey Soil,0.867,58.72,47.27,74.15,None,0.0,0.0,0.0,No,Optimal
Zone_02,37.11,48.47,33.39,42.76,101.05,6.71,29.61,Black Soil,1.709,51.01,48.36,39.46,MOP,6.34,2.15,54.15,No,Optimal
Zone_03,28.1,56.02,49.17,76.97,101.15,5.91,146.14,Sandy Soil,0.754,38.66,44.3,41.35,10-26-26,44.4,27.66,32.81,No,Optimal
Zone_04,25.04,29.78,16.04,48.54,100.86,5.83,,Sandy Soil,0.772,48.28,24.91,27.7,Urea,98.79,3.28,1.68,Missing,Warning
Zone_05,26.31,55.23,50.3,66.25,101.24,5.84,156.78,Sandy Soil,0.662,25.37,18.05,25.22,10-26-26,43.82,28.1,47.23,No,Warning
Zone_06,24.25,61.5,49.04,67.2,101.36,6.55,102.68,Loam Soil,0.948,58.25,54.85,48.86,10-26-26,27.54,30.48,35.45,No,Optimal
Zone_07,34.83,41.57,16.02,50.61,100.97,5.8,59.75,Red Soil,0.676,46.01,20.7,58.15,10-26-26,22.35,32.94,36.12,No,Warning
Zone_08,55.0,65.15,54.38,69.01,101.21,7.06,97.82,Black Soil,1.614,66.54,49.85,73.4,17-17-17,56.12,32.34,33.52,Spike,Optimal
Zone_09,21.64,70.0,75.98,86.84,101.15,6.43,213.69,Red Soil,0.691,33.07,47.07,13.86,17-17-17,51.65,24.87,35.92,No,Critical
